Ticker
AAPL
NVDA
MSFT
GOOG
GOOGL
AMZN
META
TSLA
AVGO
BRK.B
WMT
LLY
JPM
V
MA
XOM
ORCL
UNH
COST
PG
HD
NFLX
JNJ
BAC
CRM
ABBV
KO
CVX
TMUS
MRK
CSCO
WFC
ACN
NOW
PEP
BX
AXP
MCD
IBM
MS
DIS
LIN
TMO
ABT
AMD
ADBE
GS
PM
ISRG
GE
